filename,tile,domain,year,I0,J0,I1,J1,lat_sw,lon_sw,lat_se,lon_se,lat_nw,lon_nw,lat_ne,lon_ne,url
wrfout_d02_1131_2019.nc,1131,d02,2019,112,312,121,321,58.73390007,-131.16035082,58.78485012,-130.47499848,59.08897495,-131.26287080,59.14039898,-130.57087327,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1131/wrfout_d02_1131_2019.nc
wrfout_d02_1132_2019.nc,1132,d02,2019,112,322,121,331,59.08897495,-131.26287080,59.14039898,-130.57087327,59.44377422,-131.36744690,59.49567509,-130.66867447,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1132/wrfout_d02_1132_2019.nc
wrfout_d02_1133_2019.nc,1133,d02,2019,112,332,121,341,59.44377422,-131.36744690,59.49567509,-130.66867447,59.79835033,-131.47412490,59.85074901,-130.76845170,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1133/wrfout_d02_1133_2019.nc
wrfout_d02_1134_2019.nc,1134,d02,2019,112,342,121,351,59.79835033,-131.47412490,59.85074901,-130.76845170,60.15262508,-131.58302688,60.20555020,-130.87030030,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1134/wrfout_d02_1134_2019.nc
wrfout_d02_1135_2019.nc,1135,d02,2019,112,352,121,361,60.15262508,-131.58302688,60.20555020,-130.87030030,60.50662518,-131.69415283,60.56005001,-130.97424697,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1135/wrfout_d02_1135_2019.nc
wrfout_d02_1136_2019.nc,1136,d02,2019,112,362,121,371,60.50662518,-131.69415283,60.56005001,-130.97424697,60.88636589,-131.79565175,60.93978310,-131.06918332,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1136/wrfout_d02_1136_2019.nc
wrfout_d02_1137_2019.nc,1137,d02,2019,112,372,121,373,60.88636589,-131.79565175,60.93978310,-131.06918332,60.88636589,-131.79565175,60.93978310,-131.06918332,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1137/wrfout_d02_1137_2019.nc
wrfout_d02_1203_2019.nc,1203,d02,2019,122,32,131,41,48.82089996,-128.36669920,48.84390004,-127.84280143,49.16260020,-128.44193523,49.19357490,-127.90540125,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1203/wrfout_d02_1203_2019.nc
wrfout_d02_1204_2019.nc,1204,d02,2019,122,42,131,51,49.16260020,-128.44193523,49.19357490,-127.90540125,49.51212502,-128.50962450,49.54979992,-127.96084977,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1204/wrfout_d02_1204_2019.nc
wrfout_d02_1205_2019.nc,1205,d02,2019,122,52,131,61,49.51212502,-128.50962450,49.54979992,-127.96084977,49.86817455,-128.57027055,49.90617466,-128.01722527,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1205/wrfout_d02_1205_2019.nc
wrfout_d02_1206_2019.nc,1206,d02,2019,122,62,131,71,49.86817455,-128.57027055,49.90617466,-128.01722527,50.22437477,-128.63187028,50.26270008,-128.07447625,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1206/wrfout_d02_1206_2019.nc
wrfout_d02_1207_2019.nc,1207,d02,2019,122,72,131,81,50.22437477,-128.63187028,50.26270008,-128.07447625,50.58074951,-128.69445038,50.61935043,-128.13262558,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1207/wrfout_d02_1207_2019.nc
wrfout_d02_1208_2019.nc,1208,d02,2019,122,82,131,91,50.58074951,-128.69445038,50.61935043,-128.13262558,50.93727494,-128.75807570,50.97625065,-128.19174958,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/1208/wrfout_d02_1208_2019.nc
