filename,tile,domain,year,I0,J0,I1,J1,lat0,lon0,lat1,lon1,url,,,,,,,
wrfout_d02_0230_2019.nc,230,d02,2019,22,302,31,311,58.18159866,-136.5863953,57.79339981,-137.0426025,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0230/wrfout_d02_0230_2019.nc,,,,,,,
wrfout_d02_0231_2019.nc,231,d02,2019,22,312,31,321,58.53170013,-136.7398071,58.14310074,-137.1988068,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0231/wrfout_d02_0231_2019.nc,,,,,,,
wrfout_d02_0232_2019.nc,232,d02,2019,22,322,31,331,58.88140106,-136.8963013,58.49240112,-137.3580017,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0232/wrfout_d02_0232_2019.nc,,,,,,,
wrfout_d02_0233_2019.nc,233,d02,2019,22,332,31,341,59.23080063,-137.0558014,58.84140015,-137.5202026,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0233/wrfout_d02_0233_2019.nc,,,,,,,
wrfout_d02_0234_2019.nc,234,d02,2019,22,342,31,351,59.57989883,-137.2185059,59.19010162,-137.6855927,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0234/wrfout_d02_0234_2019.nc,,,,,,,
wrfout_d02_0235_2019.nc,235,d02,2019,22,352,31,361,59.92860031,-137.3843994,59.53850174,-137.8544006,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0235/wrfout_d02_0235_2019.nc,,,,,,,
wrfout_d02_0236_2019.nc,236,d02,2019,22,362,31,371,60.27690125,-137.5536957,59.88639832,-138.0263977,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0236/wrfout_d02_0236_2019.nc,,,,,,,
wrfout_d02_0237_2019.nc,237,d02,2019,22,372,31,373,60.3465004,-137.5879974,60.23389816,-138.2019043,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0237/wrfout_d02_0237_2019.nc,,,,,,,
wrfout_d02_0314_2019.nc,314,d02,2019,32,142,41,151,52.62110138,-133.8950043,52.24250031,-134.3161011,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0314/wrfout_d02_0314_2019.nc,,,,,,,
wrfout_d02_0315_2019.nc,315,d02,2019,32,152,41,161,52.97430038,-134.0057068,52.59519958,-134.429306,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0315/wrfout_d02_0315_2019.nc,,,,,,,
wrfout_d02_0316_2019.nc,316,d02,2019,32,162,41,171,53.32749939,-134.1181946,52.94789886,-134.5444031,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0316/wrfout_d02_0316_2019.nc,,,,,,,
wrfout_d02_0317_2019.nc,317,d02,2019,32,172,41,181,53.68059921,-134.2326965,53.30049896,-134.6614075,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0317/wrfout_d02_0317_2019.nc,,,,,,,
wrfout_d02_0318_2019.nc,318,d02,2019,32,182,41,191,54.03369904,-134.3491974,53.65309906,-134.7805023,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0318/wrfout_d02_0318_2019.nc,,,,,,,
wrfout_d02_0319_2019.nc,319,d02,2019,32,192,41,201,54.38669968,-134.4676056,54.00559998,-134.9015961,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0319/wrfout_d02_0319_2019.nc,,,,,,,
wrfout_d02_0320_2019.nc,320,d02,2019,32,202,41,211,54.73960114,-134.5881958,54.35810089,-135.024704,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0320/wrfout_d02_0320_2019.nc,,,,,,,
wrfout_d02_0321_2019.nc,321,d02,2019,32,212,41,221,55.0923996,-134.7108002,54.71039963,-135.1499939,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0321/wrfout_d02_0321_2019.nc,,,,,,,
wrfout_d02_0322_2019.nc,322,d02,2019,32,222,41,231,55.44509888,-134.8356934,55.06259918,-135.2776031,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0322/wrfout_d02_0322_2019.nc,,,,,,,
wrfout_d02_0323_2019.nc,323,d02,2019,32,232,41,241,55.79759979,-134.9627991,55.41469955,-135.4073944,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0323/wrfout_d02_0323_2019.nc,,,,,,,
wrfout_d02_0324_2019.nc,324,d02,2019,32,242,41,251,56.15000153,-135.0921936,55.76670074,-135.539505,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0324/wrfout_d02_0324_2019.nc,,,,,,,
wrfout_d02_0325_2019.nc,325,d02,2019,32,252,41,261,56.50220108,-135.223999,56.11849976,-135.673996,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0325/wrfout_d02_0325_2019.nc,,,,,,,
wrfout_d02_0326_2019.nc,326,d02,2019,32,262,41,271,56.85430145,-135.3582001,56.47000122,-135.8110046,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0326/wrfout_d02_0326_2019.nc,,,,,,,
wrfout_d02_0327_2019.nc,327,d02,2019,32,272,41,281,57.20610046,-135.4949036,56.82139969,-135.9505005,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0327/wrfout_d02_0327_2019.nc,,,,,,,
wrfout_d02_0328_2019.nc,328,d02,2019,32,282,41,291,57.55770111,-135.634201,57.17259979,-136.0926056,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0328/wrfout_d02_0328_2019.nc,,,,,,,
wrfout_d02_0329_2019.nc,329,d02,2019,32,292,41,301,57.9090004,-135.776001,57.52349854,-136.2373047,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0329/wrfout_d02_0329_2019.nc,,,,,,,
wrfout_d02_0330_2019.nc,330,d02,2019,32,302,41,311,58.26010132,-135.9207001,57.87419891,-136.3847961,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0330/wrfout_d02_0330_2019.nc,,,,,,,
wrfout_d02_0331_2019.nc,331,d02,2019,32,312,41,321,58.61090088,-136.0681,58.22460175,-136.5350952,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0331/wrfout_d02_0331_2019.nc,,,,,,,
wrfout_d02_0332_2019.nc,332,d02,2019,32,322,41,331,58.96139908,-136.218399,58.5746994,-136.6882019,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0332/wrfout_d02_0332_2019.nc,,,,,,,
wrfout_d02_0333_2019.nc,333,d02,2019,32,332,41,341,59.31150055,-136.3715973,58.92449951,-136.8444061,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0333/wrfout_d02_0333_2019.nc,,,,,,,
wrfout_d02_0334_2019.nc,334,d02,2019,32,342,41,351,59.66139984,-136.5278931,59.27399826,-137.0036011,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0334/wrfout_d02_0334_2019.nc,,,,,,,
wrfout_d02_0335_2019.nc,335,d02,2019,32,352,41,361,60.01079941,-136.6873016,59.62310028,-137.1660004,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0335/wrfout_d02_0335_2019.nc,,,,,,,
wrfout_d02_0336_2019.nc,336,d02,2019,32,362,41,371,60.35990143,-136.8498993,59.97180176,-137.331604,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0336/wrfout_d02_0336_2019.nc,,,,,,,
wrfout_d02_0337_2019.nc,337,d02,2019,32,372,41,373,60.42969894,-136.8827972,60.32020187,-137.5005035,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0337/wrfout_d02_0337_2019.nc,,,,,,,
wrfout_d02_0412_2019.nc,412,d02,2019,42,122,51,131,51.97869873,-133.1056976,51.60329819,-133.5274048,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0412/wrfout_d02_0412_2019.nc,,,,,,,
wrfout_d02_0413_2019.nc,413,d02,2019,42,132,51,141,52.33250046,-133.2080994,51.95660019,-133.6324005,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0413/wrfout_d02_0413_2019.nc,,,,,,,
wrfout_d02_0414_2019.nc,414,d02,2019,42,142,51,151,52.68629837,-133.3123016,52.30979919,-133.7391968,https://nrs.objectstore.gov.bc.ca/wrfdel/aermod/d02/0414/wrfout_d02_0414_2019.nc,,,,,,,
